country_code,dimension,n_answerable,n_abstained,abstention_rate_pct
AL,Policy,1,0,0.0
AL,Portal,1,0,0.0
AL,Quality,0,0,
AL,Impact,1,1,100.0
DE,Policy,2,0,0.0
DE,Portal,1,0,0.0
DE,Quality,0,0,
DE,Impact,0,0,
EE,Policy,4,2,50.0
EE,Portal,4,3,75.0
EE,Quality,4,3,75.0
EE,Impact,4,4,100.0
FR,Policy,24,5,20.8
FR,Portal,41,6,14.6
FR,Quality,17,9,52.9
FR,Impact,37,6,16.2
MT,Policy,10,3,30.0
MT,Portal,24,8,33.3
MT,Quality,9,2,22.2
MT,Impact,17,4,23.5
NL,Policy,2,0,0.0
NL,Portal,1,0,0.0
NL,Quality,0,0,
NL,Impact,0,0,
NO,Policy,30,3,10.0
NO,Portal,42,10,23.8
NO,Quality,28,11,39.3
NO,Impact,38,3,7.9
RO,Policy,1,0,0.0
RO,Portal,1,0,0.0
RO,Quality,0,0,
RO,Impact,0,0,
