threshold,region,yes_n,yes_n_subfloor,yes_accuracy,yes_wilson_lo,yes_wilson_hi,no_n,no_n_subfloor,no_accuracy,no_wilson_lo,no_wilson_hi
0.395,counterfactual,412,73,0.754854,0.711088,0.793913,272,88,0.599265,0.540035,0.655729
0.4,counterfactual,412,73,0.754854,0.711088,0.793913,272,88,0.599265,0.540035,0.655729
0.405,counterfactual,411,72,0.756691,0.712956,0.795672,272,88,0.599265,0.540035,0.655729
0.41,counterfactual,411,72,0.756691,0.712956,0.795672,272,88,0.599265,0.540035,0.655729
0.415,counterfactual,411,72,0.756691,0.712956,0.795672,272,88,0.599265,0.540035,0.655729
0.42,counterfactual,411,72,0.756691,0.712956,0.795672,272,88,0.599265,0.540035,0.655729
0.425,counterfactual,409,70,0.760391,0.716723,0.799214,271,87,0.601476,0.542158,0.657957
0.43,counterfactual,409,70,0.760391,0.716723,0.799214,271,87,0.601476,0.542158,0.657957
0.435,counterfactual,409,70,0.760391,0.716723,0.799214,271,87,0.601476,0.542158,0.657957
0.44,counterfactual,409,70,0.760391,0.716723,0.799214,271,87,0.601476,0.542158,0.657957
0.445,counterfactual,409,70,0.760391,0.716723,0.799214,271,87,0.601476,0.542158,0.657957
0.45,counterfactual,409,70,0.760391,0.716723,0.799214,271,87,0.601476,0.542158,0.657957
0.455,counterfactual,403,64,0.769231,0.725669,0.807708,266,82,0.593985,0.534038,0.651256
0.46,counterfactual,403,64,0.769231,0.725669,0.807708,266,82,0.593985,0.534038,0.651256
0.465,counterfactual,403,64,0.769231,0.725669,0.807708,266,82,0.593985,0.534038,0.651256
0.47,counterfactual,403,64,0.769231,0.725669,0.807708,266,82,0.593985,0.534038,0.651256
0.475,counterfactual,403,64,0.769231,0.725669,0.807708,266,82,0.593985,0.534038,0.651256
0.48,counterfactual,403,64,0.769231,0.725669,0.807708,266,82,0.593985,0.534038,0.651256
0.485,counterfactual,403,64,0.769231,0.725669,0.807708,266,82,0.593985,0.534038,0.651256
0.49,counterfactual,403,64,0.769231,0.725669,0.807708,266,82,0.593985,0.534038,0.651256
0.495,counterfactual,403,64,0.769231,0.725669,0.807708,266,82,0.593985,0.534038,0.651256
0.5,counterfactual,403,64,0.769231,0.725669,0.807708,266,82,0.593985,0.534038,0.651256
0.505,counterfactual,392,53,0.788265,0.745125,0.825811,264,80,0.590909,0.530709,0.648501
0.51,counterfactual,392,53,0.788265,0.745125,0.825811,264,80,0.590909,0.530709,0.648501
0.515,counterfactual,391,52,0.790281,0.747202,0.827712,264,80,0.590909,0.530709,0.648501
0.52,counterfactual,391,52,0.790281,0.747202,0.827712,264,80,0.590909,0.530709,0.648501
0.525,counterfactual,373,34,0.817694,0.77534,0.853572,236,52,0.559322,0.495533,0.621211
0.53,counterfactual,373,34,0.817694,0.77534,0.853572,236,52,0.559322,0.495533,0.621211
0.535,counterfactual,373,34,0.817694,0.77534,0.853572,236,52,0.559322,0.495533,0.621211
0.54,counterfactual,373,34,0.817694,0.77534,0.853572,236,52,0.559322,0.495533,0.621211
0.545,counterfactual,373,34,0.817694,0.77534,0.853572,236,52,0.559322,0.495533,0.621211
0.55,counterfactual,373,34,0.817694,0.77534,0.853572,236,52,0.559322,0.495533,0.621211
0.555,counterfactual,356,17,0.848315,0.807347,0.881845,201,17,0.512438,0.443754,0.580655
0.56,counterfactual,356,17,0.848315,0.807347,0.881845,201,17,0.512438,0.443754,0.580655
0.565,counterfactual,356,17,0.848315,0.807347,0.881845,201,17,0.512438,0.443754,0.580655
0.57,counterfactual,356,17,0.848315,0.807347,0.881845,201,17,0.512438,0.443754,0.580655
0.575,counterfactual,356,17,0.848315,0.807347,0.881845,201,17,0.512438,0.443754,0.580655
0.58,counterfactual,356,17,0.848315,0.807347,0.881845,201,17,0.512438,0.443754,0.580655
0.585,counterfactual,355,16,0.847887,0.806819,0.881507,201,17,0.512438,0.443754,0.580655
0.59,counterfactual,355,16,0.847887,0.806819,0.881507,201,17,0.512438,0.443754,0.580655
0.595,counterfactual,355,16,0.847887,0.806819,0.881507,201,17,0.512438,0.443754,0.580655
0.6,counterfactual,355,16,0.847887,0.806819,0.881507,201,17,0.512438,0.443754,0.580655
0.605,counterfactual,344,5,0.872093,0.832646,0.903322,192,8,0.5,0.429973,0.570027
0.61,counterfactual,344,5,0.872093,0.832646,0.903322,192,8,0.5,0.429973,0.570027
0.615,counterfactual,343,4,0.87172,0.832171,0.903036,192,8,0.5,0.429973,0.570027
0.62,counterfactual,343,4,0.87172,0.832171,0.903036,192,8,0.5,0.429973,0.570027
0.625,counterfactual,339,0,0.870206,0.830243,0.901874,184,0,0.48913,0.417867,0.560839
0.63,counterfactual,339,0,0.870206,0.830243,0.901874,184,0,0.48913,0.417867,0.560839
0.635,counterfactual,339,0,0.870206,0.830243,0.901874,184,0,0.48913,0.417867,0.560839
0.64,counterfactual,339,0,0.870206,0.830243,0.901874,184,0,0.48913,0.417867,0.560839
0.645,counterfactual,339,0,0.870206,0.830243,0.901874,184,0,0.48913,0.417867,0.560839
0.65,observed,339,0,0.870206,0.830243,0.901874,184,0,0.48913,0.417867,0.560839
0.655,observed,267,0,0.932584,0.895963,0.956934,107,0,0.317757,0.237164,0.410982
0.66,observed,267,0,0.932584,0.895963,0.956934,107,0,0.317757,0.237164,0.410982
0.665,observed,267,0,0.932584,0.895963,0.956934,106,0,0.311321,0.231076,0.404762
0.67,observed,267,0,0.932584,0.895963,0.956934,106,0,0.311321,0.231076,0.404762
0.675,observed,265,0,0.932075,0.895197,0.956606,106,0,0.311321,0.231076,0.404762
0.68,observed,265,0,0.932075,0.895197,0.956606,106,0,0.311321,0.231076,0.404762
0.685,observed,252,0,0.940476,0.904125,0.963599,90,0,0.233333,0.157982,0.330517
0.69,observed,252,0,0.940476,0.904125,0.963599,90,0,0.233333,0.157982,0.330517
0.695,observed,252,0,0.940476,0.904125,0.963599,90,0,0.233333,0.157982,0.330517
0.7,observed,252,0,0.940476,0.904125,0.963599,90,0,0.233333,0.157982,0.330517
0.705,observed,237,0,0.940928,0.903301,0.96449,75,0,0.186667,0.114581,0.289286
0.71,observed,237,0,0.940928,0.903301,0.96449,75,0,0.186667,0.114581,0.289286
0.715,observed,237,0,0.940928,0.903301,0.96449,74,0,0.189189,0.11618,0.292876
0.72,observed,237,0,0.940928,0.903301,0.96449,74,0,0.189189,0.11618,0.292876
0.725,observed,191,0,0.963351,0.926295,0.982136,48,0,0.083333,0.032884,0.195533
0.73,observed,191,0,0.963351,0.926295,0.982136,48,0,0.083333,0.032884,0.195533
0.735,observed,191,0,0.963351,0.926295,0.982136,48,0,0.083333,0.032884,0.195533
0.74,observed,191,0,0.963351,0.926295,0.982136,48,0,0.083333,0.032884,0.195533
0.745,observed,191,0,0.963351,0.926295,0.982136,48,0,0.083333,0.032884,0.195533
0.75,observed,191,0,0.963351,0.926295,0.982136,48,0,0.083333,0.032884,0.195533
0.755,observed,168,0,0.964286,0.924283,0.983531,37,0,0.081081,0.027961,0.213007
0.76,observed,168,0,0.964286,0.924283,0.983531,37,0,0.081081,0.027961,0.213007
0.765,observed,168,0,0.964286,0.924283,0.983531,37,0,0.081081,0.027961,0.213007
0.77,observed,168,0,0.964286,0.924283,0.983531,37,0,0.081081,0.027961,0.213007
0.775,observed,168,0,0.964286,0.924283,0.983531,37,0,0.081081,0.027961,0.213007
0.78,observed,168,0,0.964286,0.924283,0.983531,37,0,0.081081,0.027961,0.213007
0.785,observed,142,0,0.985915,0.950104,0.996129,25,0,0.04,0.007096,0.195441
0.79,observed,142,0,0.985915,0.950104,0.996129,25,0,0.04,0.007096,0.195441
0.795,observed,142,0,0.985915,0.950104,0.996129,25,0,0.04,0.007096,0.195441
0.8,observed,142,0,0.985915,0.950104,0.996129,25,0,0.04,0.007096,0.195441
0.805,observed,133,0,0.984962,0.94683,0.995866,19,0,0.0,0.0,0.168179
0.81,observed,133,0,0.984962,0.94683,0.995866,19,0,0.0,0.0,0.168179
0.815,observed,133,0,0.984962,0.94683,0.995866,19,0,0.0,0.0,0.168179
0.82,observed,133,0,0.984962,0.94683,0.995866,19,0,0.0,0.0,0.168179
0.825,observed,107,0,0.990654,0.948951,0.998348,10,0,0.0,0.0,0.277533
0.83,observed,107,0,0.990654,0.948951,0.998348,10,0,0.0,0.0,0.277533
0.835,observed,107,0,0.990654,0.948951,0.998348,10,0,0.0,0.0,0.277533
0.84,observed,107,0,0.990654,0.948951,0.998348,10,0,0.0,0.0,0.277533
0.845,observed,107,0,0.990654,0.948951,0.998348,10,0,0.0,0.0,0.277533
0.85,observed,107,0,0.990654,0.948951,0.998348,10,0,0.0,0.0,0.277533
0.855,observed,83,0,0.987952,0.934864,0.99787,6,0,0.0,0.0,0.390334
0.86,observed,83,0,0.987952,0.934864,0.99787,6,0,0.0,0.0,0.390334
0.865,observed,83,0,0.987952,0.934864,0.99787,6,0,0.0,0.0,0.390334
0.87,observed,83,0,0.987952,0.934864,0.99787,6,0,0.0,0.0,0.390334
0.875,observed,82,0,0.987805,0.934107,0.997844,6,0,0.0,0.0,0.390334
0.88,observed,82,0,0.987805,0.934107,0.997844,6,0,0.0,0.0,0.390334
0.885,observed,77,0,0.987013,0.930038,0.997704,3,0,0.0,0.0,0.561497
0.89,observed,77,0,0.987013,0.930038,0.997704,3,0,0.0,0.0,0.561497
0.895,observed,77,0,0.987013,0.930038,0.997704,3,0,0.0,0.0,0.561497
0.9,observed,77,0,0.987013,0.930038,0.997704,3,0,0.0,0.0,0.561497
0.905,observed,56,0,1.0,0.935806,1.0,3,0,0.0,0.0,0.561497
0.91,observed,56,0,1.0,0.935806,1.0,3,0,0.0,0.0,0.561497
0.915,observed,56,0,1.0,0.935806,1.0,3,0,0.0,0.0,0.561497
0.92,observed,56,0,1.0,0.935806,1.0,3,0,0.0,0.0,0.561497
0.925,observed,44,0,1.0,0.919704,1.0,3,0,0.0,0.0,0.561497
0.93,observed,44,0,1.0,0.919704,1.0,3,0,0.0,0.0,0.561497
0.935,observed,42,0,1.0,0.916201,1.0,3,0,0.0,0.0,0.561497
0.94,observed,42,0,1.0,0.916201,1.0,3,0,0.0,0.0,0.561497
0.945,observed,42,0,1.0,0.916201,1.0,3,0,0.0,0.0,0.561497
0.95,observed,42,0,1.0,0.916201,1.0,3,0,0.0,0.0,0.561497
0.955,observed,28,0,1.0,0.879357,1.0,0,0,,,
0.96,observed,28,0,1.0,0.879357,1.0,0,0,,,
0.965,observed,28,0,1.0,0.879357,1.0,0,0,,,
0.97,observed,28,0,1.0,0.879357,1.0,0,0,,,
0.975,observed,17,0,1.0,0.815682,1.0,0,0,,,
0.98,observed,17,0,1.0,0.815682,1.0,0,0,,,
0.985,observed,9,0,1.0,0.700855,1.0,0,0,,,
0.99,observed,9,0,1.0,0.700855,1.0,0,0,,,
