threshold,yes_n,yes_accuracy,yes_wilson_lo,yes_wilson_hi,no_n,no_accuracy,no_wilson_lo,no_wilson_hi
0.65,339,0.870206,0.830243,0.901874,184,0.48913,0.417867,0.560839
0.655,267,0.932584,0.895963,0.956934,107,0.317757,0.237164,0.410982
0.66,267,0.932584,0.895963,0.956934,107,0.317757,0.237164,0.410982
0.665,267,0.932584,0.895963,0.956934,106,0.311321,0.231076,0.404762
0.67,267,0.932584,0.895963,0.956934,106,0.311321,0.231076,0.404762
0.675,265,0.932075,0.895197,0.956606,106,0.311321,0.231076,0.404762
0.68,265,0.932075,0.895197,0.956606,106,0.311321,0.231076,0.404762
0.685,252,0.940476,0.904125,0.963599,90,0.233333,0.157982,0.330517
0.69,252,0.940476,0.904125,0.963599,90,0.233333,0.157982,0.330517
0.695,252,0.940476,0.904125,0.963599,90,0.233333,0.157982,0.330517
0.7,252,0.940476,0.904125,0.963599,90,0.233333,0.157982,0.330517
0.705,237,0.940928,0.903301,0.96449,75,0.186667,0.114581,0.289286
0.71,237,0.940928,0.903301,0.96449,75,0.186667,0.114581,0.289286
0.715,237,0.940928,0.903301,0.96449,74,0.189189,0.11618,0.292876
0.72,237,0.940928,0.903301,0.96449,74,0.189189,0.11618,0.292876
0.725,191,0.963351,0.926295,0.982136,48,0.083333,0.032884,0.195533
0.73,191,0.963351,0.926295,0.982136,48,0.083333,0.032884,0.195533
0.735,191,0.963351,0.926295,0.982136,48,0.083333,0.032884,0.195533
0.74,191,0.963351,0.926295,0.982136,48,0.083333,0.032884,0.195533
0.745,191,0.963351,0.926295,0.982136,48,0.083333,0.032884,0.195533
0.75,191,0.963351,0.926295,0.982136,48,0.083333,0.032884,0.195533
0.755,168,0.964286,0.924283,0.983531,37,0.081081,0.027961,0.213007
0.76,168,0.964286,0.924283,0.983531,37,0.081081,0.027961,0.213007
0.765,168,0.964286,0.924283,0.983531,37,0.081081,0.027961,0.213007
0.77,168,0.964286,0.924283,0.983531,37,0.081081,0.027961,0.213007
0.775,168,0.964286,0.924283,0.983531,37,0.081081,0.027961,0.213007
0.78,168,0.964286,0.924283,0.983531,37,0.081081,0.027961,0.213007
0.785,142,0.985915,0.950104,0.996129,25,0.04,0.007096,0.195441
0.79,142,0.985915,0.950104,0.996129,25,0.04,0.007096,0.195441
0.795,142,0.985915,0.950104,0.996129,25,0.04,0.007096,0.195441
0.8,142,0.985915,0.950104,0.996129,25,0.04,0.007096,0.195441
0.805,133,0.984962,0.94683,0.995866,19,0.0,0.0,0.168179
0.81,133,0.984962,0.94683,0.995866,19,0.0,0.0,0.168179
0.815,133,0.984962,0.94683,0.995866,19,0.0,0.0,0.168179
0.82,133,0.984962,0.94683,0.995866,19,0.0,0.0,0.168179
0.825,107,0.990654,0.948951,0.998348,10,0.0,0.0,0.277533
0.83,107,0.990654,0.948951,0.998348,10,0.0,0.0,0.277533
0.835,107,0.990654,0.948951,0.998348,10,0.0,0.0,0.277533
0.84,107,0.990654,0.948951,0.998348,10,0.0,0.0,0.277533
0.845,107,0.990654,0.948951,0.998348,10,0.0,0.0,0.277533
0.85,107,0.990654,0.948951,0.998348,10,0.0,0.0,0.277533
0.855,83,0.987952,0.934864,0.99787,6,0.0,0.0,0.390334
0.86,83,0.987952,0.934864,0.99787,6,0.0,0.0,0.390334
0.865,83,0.987952,0.934864,0.99787,6,0.0,0.0,0.390334
0.87,83,0.987952,0.934864,0.99787,6,0.0,0.0,0.390334
0.875,82,0.987805,0.934107,0.997844,6,0.0,0.0,0.390334
0.88,82,0.987805,0.934107,0.997844,6,0.0,0.0,0.390334
0.885,77,0.987013,0.930038,0.997704,3,0.0,0.0,0.561497
0.89,77,0.987013,0.930038,0.997704,3,0.0,0.0,0.561497
0.895,77,0.987013,0.930038,0.997704,3,0.0,0.0,0.561497
0.9,77,0.987013,0.930038,0.997704,3,0.0,0.0,0.561497
0.905,56,1.0,0.935806,1.0,3,0.0,0.0,0.561497
0.91,56,1.0,0.935806,1.0,3,0.0,0.0,0.561497
0.915,56,1.0,0.935806,1.0,3,0.0,0.0,0.561497
0.92,56,1.0,0.935806,1.0,3,0.0,0.0,0.561497
0.925,44,1.0,0.919704,1.0,3,0.0,0.0,0.561497
0.93,44,1.0,0.919704,1.0,3,0.0,0.0,0.561497
0.935,42,1.0,0.916201,1.0,3,0.0,0.0,0.561497
0.94,42,1.0,0.916201,1.0,3,0.0,0.0,0.561497
0.945,42,1.0,0.916201,1.0,3,0.0,0.0,0.561497
0.95,42,1.0,0.916201,1.0,3,0.0,0.0,0.561497
0.955,28,1.0,0.879357,1.0,0,,,
0.96,28,1.0,0.879357,1.0,0,,,
0.965,28,1.0,0.879357,1.0,0,,,
0.97,28,1.0,0.879357,1.0,0,,,
0.975,17,1.0,0.815682,1.0,0,,,
0.98,17,1.0,0.815682,1.0,0,,,
0.985,9,1.0,0.700855,1.0,0,,,
0.99,9,1.0,0.700855,1.0,0,,,
