n_accepted,coverage,selective_risk,threshold_confidence
1,0.000874,0.0,0.99
2,0.001748,0.0,0.99
3,0.002622,0.0,0.99
4,0.003497,0.0,0.99
5,0.004371,0.0,0.99
6,0.005245,0.0,0.99
7,0.006119,0.0,0.99
8,0.006993,0.0,0.99
9,0.007867,0.0,0.99
10,0.008741,0.0,0.98
11,0.009615,0.0,0.98
12,0.01049,0.0,0.98
13,0.011364,0.0,0.98
14,0.012238,0.0,0.98
15,0.013112,0.0,0.98
16,0.013986,0.0,0.98
17,0.01486,0.0,0.98
18,0.015734,0.0,0.97
19,0.016608,0.0,0.97
20,0.017483,0.0,0.97
21,0.018357,0.0,0.97
22,0.019231,0.0,0.97
23,0.020105,0.0,0.97
24,0.020979,0.0,0.97
25,0.021853,0.0,0.97
26,0.022727,0.0,0.97
27,0.023601,0.0,0.97
28,0.024476,0.0,0.97
29,0.02535,0.0,0.95
30,0.026224,0.0,0.95
31,0.027098,0.032258,0.95
32,0.027972,0.03125,0.95
33,0.028846,0.030303,0.95
34,0.02972,0.029412,0.95
35,0.030594,0.028571,0.95
36,0.031469,0.027778,0.95
37,0.032343,0.027027,0.95
38,0.033217,0.026316,0.95
39,0.034091,0.025641,0.95
40,0.034965,0.025,0.95
41,0.035839,0.02439,0.95
42,0.036713,0.02381,0.95
43,0.037587,0.046512,0.95
44,0.038462,0.068182,0.95
45,0.039336,0.066667,0.95
46,0.04021,0.065217,0.95
47,0.041084,0.06383,0.95
48,0.041958,0.083333,0.95
49,0.042832,0.102041,0.95
50,0.043706,0.12,0.95
51,0.04458,0.117647,0.95
52,0.045455,0.115385,0.95
53,0.046329,0.132075,0.95
54,0.047203,0.148148,0.95
55,0.048077,0.163636,0.95
56,0.048951,0.178571,0.95
57,0.049825,0.192982,0.95
58,0.050699,0.189655,0.95
59,0.051573,0.20339,0.95
60,0.052448,0.216667,0.95
61,0.053322,0.213115,0.95
62,0.054196,0.209677,0.95
63,0.05507,0.206349,0.95
64,0.055944,0.203125,0.95
65,0.056818,0.2,0.95
66,0.057692,0.212121,0.95
67,0.058566,0.223881,0.95
68,0.059441,0.220588,0.95
69,0.060315,0.231884,0.95
70,0.061189,0.228571,0.95
71,0.062063,0.225352,0.95
72,0.062937,0.222222,0.95
73,0.063811,0.219178,0.95
74,0.064685,0.216216,0.95
75,0.065559,0.226667,0.95
76,0.066434,0.236842,0.95
77,0.067308,0.233766,0.95
78,0.068182,0.24359,0.95
79,0.069056,0.240506,0.95
80,0.06993,0.2375,0.95
81,0.070804,0.234568,0.95
82,0.071678,0.231707,0.93
83,0.072552,0.228916,0.93
84,0.073427,0.22619,0.92
85,0.074301,0.223529,0.92
86,0.075175,0.22093,0.92
87,0.076049,0.218391,0.92
88,0.076923,0.215909,0.92
89,0.077797,0.213483,0.92
90,0.078671,0.211111,0.92
91,0.079545,0.208791,0.92
92,0.08042,0.206522,0.92
93,0.081294,0.204301,0.92
94,0.082168,0.202128,0.92
95,0.083042,0.2,0.92
96,0.083916,0.197917,0.92
97,0.08479,0.195876,0.9
98,0.085664,0.193878,0.9
99,0.086538,0.191919,0.9
100,0.087413,0.19,0.9
101,0.088287,0.188119,0.9
102,0.089161,0.186275,0.9
103,0.090035,0.184466,0.9
104,0.090909,0.182692,0.9
105,0.091783,0.180952,0.9
106,0.092657,0.179245,0.9
107,0.093531,0.17757,0.9
108,0.094406,0.175926,0.9
109,0.09528,0.174312,0.9
110,0.096154,0.172727,0.9
111,0.097028,0.171171,0.9
112,0.097902,0.169643,0.9
